jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|y:n,  modelParams|sensorParams|encoders|ydot:n,  modelParams|sensorParams|encoders|speed_y:n,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|sensorParams|encoders|pred_speed_y:n,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|dy:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|inferenceType,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=speed_y,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=speed_y, 
1008,  1386,  completed,  eof,  2013-11-03 06:22:06,  2013-11-03 06:23:15,  69,  modelParams|sensorParams|encoders|ydot:n_275.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0525,  2686,  None,  275,  None,  0.05005,  11,  14,  3,  275,  NontemporalMultiStep,  0.0525,  0.0906010846171,  51.038004677, 
1008,  1397,  completed,  eof,  2013-11-03 06:22:06,  2013-11-03 06:23:56,  110,  modelParams|sensorParams|encoders|speed_y:n_28.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.005,  2686,  None,  None,  28,  0.0001,  9,  12,  1,  28,  TemporalMultiStep,  0.005,  0.0784934029752,  44.2174250462, 
1008,  1398,  completed,  eof,  2013-11-03 06:23:14,  2013-11-03 06:24:54,  100,  modelParams|sensorParams|encoders|y:n_28.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.005,  2686,  28,  None,  None,  0.0001,  9,  12,  1,  28,  TemporalMultiStep,  0.005,  0.0681438244699,  38.3872317501, 
1008,  1399,  completed,  eof,  2013-11-03 06:23:16,  2013-11-03 06:25:16,  120,  modelParams|sensorParams|encoders|ydot:n_28.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.005,  2686,  None,  28,  None,  0.0001,  9,  12,  1,  28,  TemporalMultiStep,  0.005,  0.0831734168015,  46.8538015152, 
1008,  1400,  completed,  eof,  2013-11-03 06:23:18,  2013-11-03 06:24:32,  74,  modelParams|sensorParams|encoders|speed_y:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2686,  None,  None,  521,  0.1,  12,  16,  5,  521,  NontemporalMultiStep,  0.1,  0.0816844716342,  46.0150390354, 
1008,  1401,  completed,  eof,  2013-11-03 06:23:56,  2013-11-03 06:25:10,  74,  modelParams|sensorParams|encoders|y:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2686,  521,  None,  None,  0.1,  12,  16,  5,  521,  NontemporalMultiStep,  0.1,  0.0545586558387,  30.7343443363, 
1008,  1402,  completed,  eof,  2013-11-03 06:24:32,  2013-11-03 06:25:49,  77,  modelParams|sensorParams|encoders|ydot:n_521.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2686,  None,  521,  None,  0.1,  12,  16,  5,  521,  NontemporalMultiStep,  0.1,  0.0907339577133,  51.1128556319, 
1008,  1403,  completed,  eof,  2013-11-03 06:24:54,  2013-11-03 06:26:48,  114,  modelParams|sensorParams|encoders|speed_y:n_151.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.02875,  2686,  None,  None,  151,  0.025075,  10,  13,  2,  151,  TemporalMultiStep,  0.02875,  0.0847400682633,  47.736338021, 
1008,  1404,  completed,  eof,  2013-11-03 06:25:11,  2013-11-03 06:26:58,  107,  modelParams|sensorParams|encoders|y:n_151.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.02875,  2686,  151,  None,  None,  0.025075,  10,  13,  2,  151,  TemporalMultiStep,  0.02875,  0.0554438264111,  31.2329845017, 
1008,  1405,  completed,  eof,  2013-11-03 06:25:16,  2013-11-03 06:27:21,  125,  modelParams|sensorParams|encoders|ydot:n_151.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.02875,  2686,  None,  151,  None,  0.025075,  10,  13,  2,  151,  TemporalMultiStep,  0.02875,  0.0962402358359,  54.2146887917, 
